ESCO,ISCO08
22221,2222
2635313,2635
312233,3122
1324325,1324
71193,7119
51111,5111
731614,7316
42123,4212
515312,5153
81422,8142
51122,5112
26515,2651
94112,9411
26212,2621
132431620,1324
312231,3122
25133,2513
12121,1212
1420439,1420
23531,2353
35111,3511
13243230,1324
21433,2143
5223723,5223
142048,1420
26111,2611
816027,8160
231011,2310
81721,8172
263423,2634
23521,2352
83225,8322
73142,7314
75315,7531
71263,7126
21416,2141
721234,7212
731233,7312
1420410,1420
722317,7223
24321,2432
32522,3252
26327,2632
5131221,5131
33312128,3331
1324313,1324
61134,6113
2635319,2635
252212,2522
72317,7231
24331,2433
2422121,2422
1420436,1420
3324421,3324
2310118,2310
81142,8114
71331,7133
26312,2631
2144118,2144
315413,3154
81817,8181
311916,3119
343521,3435
33312115,3331
32402,3240
132125,1321
26435,2643
23514,2351
43124,4312
31532,3153
232017,2320
2310140,2310
754375,7543
422131,4221
263538,2635
31131,3113
96232,9623
44151,4415
512011,5120
343515,3435
81603,8160
816024,8160
52412,5241
21653,2165
42214,4221
33233,3323
23513,2351
22121,2212
52234,5223
1420441,1420
1103,1100
541112,5411
341244,3412
73173,7317
541417,5414
24318,2431
263514,2635
31175,3117
51121,5112
33414,3341
1223221,1223
31513,3151
132124,1321
312318,3123
232019,2320
263123,2631
24328,2432
25221,2522
11121,1112
2144111,2144
23561,2356
14204,1420
25131,2513
73171,7317
132483,1324
12231,1223
75163,7516
1324323,1324
132431630,1324
81148,8114
134912,1349
94111,9411
241119,2411
13497,1349
3324410,3324
32571,3257
343519,3435
81212,8121
522372,5223
2330115,2330
92141,9214
21491,2149
2163133,2163
24243,2424
33211,3321
92121,9212
3423123,3423
73164,7316
51311,5131
24221210,2422
722346,7223
3324431,3324
42272,4227
51612,5161
5249216,5249
51421,5142
5131222,5131
31331,3133
111232,1112
343413,3434
815233,8152
25195,2519
75155,7515
71313,7131
33154,3315
1321215,1321
71333,7133
83124,8312
132433,1324
53291,5329
22641,2264
31312,3131
21323,2132
2310120,2310
214213,2142
33311,3331
32574,3257
216211,2162
72321,7232
35123,3512
754377,7543
26421,2642
31183,3118
3324425,3324
61131,6113
54191,5419
132431618,1324
814271,8142
72153,7215
26361,2636
